courier_id	page	count	page_corr	found	not_found
073850	2	2	2	1	1
073850	3	2	3	0	2
073850	4	3	4	0	3
073850	5	3	5	1	2
073850	6	4	6	0	4
073850	7	2	7	0	2
073850	8	2	8	2	0
073867	1	2	1	1	1
073867	3	2	3	1	1
073867	4	3	4	2	1
073867	5	4	5	2	2
073867	7	5	7	0	5
073886	1	3	1	1	2
073886	2	4	2	2	2
073886	3	3	3	2	1
073886	4	4	4	0	4
073886	5	4	5	0	4
073886	6	4	6	0	4
073886	7	4	7	2	2
073886	8	2	8	0	2
073912	2	3	2	3	0
073912	3	4	3	2	2
073912	4	2	4	1	1
073912	9	2	9	1	1
073912	10	3	10	3	0
073912	11	4	11	1	3
073912	12	2	12	2	0
073938	1	2	1	1	1
073938	2	3	2	0	3
073938	3	3	3	1	2
073938	4	4	4	0	4
073938	6	3	6	2	1
073938	7	3	7	2	1
073956	2	2	2	0	2
073956	7	2	7	1	1
073956	8	2	8	1	1
073956	9	2	9	1	1
073956	10	2	10	0	2
073956	11	2	11	2	0
073970	3	4	3	2	2
073970	4	3	4	1	2
073970	6	4	6	0	4
073970	7	5	7	2	3
073970	8	3	8	2	1
073970	9	3	9	0	3
073970	10	3	10	2	1
073993	3	2	3	1	1
073993	6	2	6	0	2
073993	7	2	7	0	2
073993	9	3	9	1	2
073993	11	2	11	1	1
073993	12	2	12	1	1
074013	1	2	1	1	1
074013	2	3	2	1	2
074013	3	2	3	0	2
074013	4	2	4	2	0
074013	6	2	6	0	2
074013	8	2	8	1	1
074013	9	2	9	2	0
074013	11	2	11	0	2
074029	3	2	3	1	1
074029	4	2	4	1	1
074029	5	3	5	2	1
074029	6	3	6	1	2
074029	7	4	7	3	1
074029	8	4	8	3	1
074029	9	3	9	3	0
074029	11	2	11	1	1
074029	12	3	12	3	0
074055	2	2	2	1	1
074055	3	2	3	0	2
074055	5	2	5	0	2
074055	7	3	7	1	2
074055	8	3	8	2	1
074055	9	2	9	0	2
074055	10	2	10	1	1
074055	11	2	11	2	0
074055	14	2	14	1	1
074055	15	2	15	1	1
074055	16	4	16	0	4
074055	17	3	17	0	3
074055	18	2	18	1	1
074055	19	2	19	0	2
074055	21	2	21	1	1
074055	22	2	22	0	2
074055	23	2	23	0	2
074055	26	2	26	1	1
074055	27	2	27	0	2
074055	28	3	28	1	2
074055	30	4	30	2	2
074055	31	3	31	2	1
074116	3	2	3	1	1
074116	4	2	4	1	1
074116	12	2	12	0	2
074130	2	2	2	0	2
074130	3	2	3	0	2
074130	5	2	5	1	1
074130	6	5	6	0	5
074130	7	4	7	0	4
074130	8	2	8	0	2
074130	9	3	9	1	2
074130	10	3	10	2	1
074130	11	2	11	1	1
074130	12	2	12	1	1
074130	13	3	13	0	3
074130	14	2	14	0	2
074130	16	3	16	3	0
074130	17	2	17	1	1
074130	19	2	19	1	1
074130	20	2	20	0	2
074130	22	3	22	1	2
074130	23	2	23	0	2
074184	4	2	4	0	2
074184	5	2	5	2	0
074184	8	2	8	0	2
074184	10	4	10	2	2
074184	11	2	11	1	1
074589	6	3	6	1	2
074589	7	2	7	1	1
074589	10	2	10	0	2
074589	11	2	11	1	1
074589	12	2	12	0	2
074589	13	2	13	1	1
074589	14	2	14	2	0
074639	10	2	10	2	0
074642	26	2	26	0	2
074642	28	2	28	0	2
074642	31	2	31	0	2
074673	2	2	2	2	0
074676	14	2	14	1	1
074679	29	2	29	1	1
074684	30	2	30	0	2
074686	17	2	17	1	1
074686	18	2	18	0	2
074686	25	2	25	1	1
074686	28	2	28	1	1
074687	27	2	27	1	1
074689	7	2	7	1	1
074689	17	2	17	1	1
074689	26	2	26	2	0
074689	27	2	27	0	2
074691	7	2	7	1	1
074692	8	2	8	0	2
074693	11	2	11	1	1
074694	6	2	6	1	1
074694	14	2	14	1	1
074694	16	2	16	1	1
074694	18	2	18	1	1
074694	19	2	19	2	0
074694	21	2	21	1	1
074694	29	2	29	1	1
074694	31	2	31	1	1
074700	13	2	13	1	1
074700	28	2	28	1	1
074705	6	2	6	1	1
074708	14	2	14	2	0
074708	15	2	15	0	2
074708	17	2	17	1	1
074708	18	2	18	1	1
074708	36	2	36	2	0
074708	37	2	37	0	2
074708	40	2	40	1	1
074712	11	2	11	1	1
074712	19	2	19	1	1
074713	10	2	10	0	2
074714	28	2	28	1	1
074714	30	2	30	1	1
074714	31	2	31	0	2
074715	9	2	9	1	1
074715	10	2	10	1	1
074715	12	2	12	1	1
074715	13	2	13	0	2
074715	16	2	16	1	1
074720	19	2	19	1	1
074720	22	2	22	1	1
074721	44	2	44	1	1
074721	45	2	45	0	2
074721	52	2	52	0	2
074721	60	2	60	1	1
074721	63	2	63	1	1
074723	26	2	26	1	1
074732	20	2	20	1	1
074732	39	2	39	1	1
074736	21	2	21	1	1
074739	31	2	31	0	2
074741	7	2	7	1	1
074744	19	2	19	1	1
074744	20	2	20	1	1
074744	23	2	23	2	0
074744	29	2	29	2	0
074748	66	2	66	0	2
074754	14	3	14	2	1
074754	15	2	15	0	2
074754	31	2	31	2	0
074754	40	2	40	1	1
074756	33	2	33	1	1
074758	9	2	9	0	2
074758	10	2	10	1	1
074758	12	2	12	1	1
074758	13	2	13	0	2
074760	6	2	6	1	1
074761	5	2	5	0	2
074766	18	2	18	1	1
074766	23	2	23	1	1
074770	16	2	16	1	1
074771	26	2	26	0	2
074771	27	2	27	0	2
074771	29	2	29	1	1
074771	31	2	31	1	1
074776	6	2	6	0	2
074776	8	2	8	1	1
074776	25	2	25	1	1
074776	38	2	38	1	1
074776	39	2	39	1	1
074777	16	2	16	0	2
074778	17	2	17	1	1
074785	8	2	8	1	1
074786	18	2	18	1	1
074786	30	2	30	0	2
074795	11	2	11	1	1
074795	30	2	30	1	1
074798	16	2	16	1	1
074798	17	2	17	0	2
074798	18	2	18	0	2
074798	19	2	19	0	2
074798	20	2	20	0	2
074798	21	2	21	0	2
074801	22	2	22	0	2
074803	6	2	6	0	2
074803	24	2	24	1	1
074803	28	2	28	1	1
074803	29	2	29	0	2
074803	30	2	30	1	1
074804	26	2	26	1	1
074806	15	2	15	1	1
074806	24	2	24	1	1
074808	26	2	26	1	1
074808	27	2	27	0	2
074808	28	2	28	1	1
074809	22	2	22	1	1
074810	6	2	6	1	1
074810	9	2	9	1	1
074810	10	2	10	0	2
074810	16	2	16	0	2
074810	23	2	23	1	1
074811	33	2	33	1	1
074813	6	2	6	0	2
074813	14	2	14	1	1
074814	18	2	18	1	1
074814	62	2	62	1	1
074815	26	2	25	1	1
074815	27	2	26	0	2
074816	8	2	8	0	2
074816	14	2	14	1	1
074816	20	2	20	1	1
074817	12	2	12	0	2
