courier_id	page	page_corr	count	found	not_found	continued_count
014255	36	36	2	0	2	1
015480	12	12	2	0	2	1
016653	15	15	2	1	1	0
016653	30	29	2	0	2	0
028352	12	12	2	0	2	1
033144	14	14	2	0	2	1
033144	44	44	2	0	2	1
044064	15	15	2	0	2	0
046076	32	32	2	0	2	0
046076	70	70	2	0	2	0
046076	72	72	2	0	2	0
046520	6	6	2	0	2	0
049738	24	24	2	0	2	0
050399	8	8	2	0	2	0
050399	20	20	2	0	2	1
050495	26	25	2	0	2	0
052257	4	4	2	0	2	0
052257	6	6	2	1	1	2
052879	16	16	2	1	1	1
052879	17	17	2	0	2	0
056740	6	6	2	0	2	1
056740	13	13	2	0	2	0
056743	24	24	2	0	2	1
057247	40	40	2	0	2	1
057783	6	6	2	1	1	1
058738	28	27	2	0	2	0
058953	8	8	2	0	2	1
058953	20	20	2	0	2	1
059301	30	30	2	0	2	1
059301	31	31	2	0	2	0
059709	7	7	2	0	2	0
059709	11	11	2	0	2	0
059709	24	24	2	0	2	0
060510	52	52	2	0	2	1
060703	16	16	2	2	0	0
060718	25	25	2	0	2	0
060718	27	27	2	1	1	0
061392	15	15	2	1	1	0
061953	12	12	2	0	2	1
061953	13	13	2	0	2	0
062188	18	18	2	0	2	1
062315	6	6	2	0	2	0
062315	7	7	2	0	2	0
062315	8	8	2	0	2	1
062315	9	9	2	0	2	0
062315	10	10	2	0	2	1
062315	11	11	2	0	2	0
062315	12	12	2	0	2	1
062315	13	13	2	0	2	0
062315	14	14	2	0	2	0
062315	15	15	2	0	2	0
062315	16	16	2	1	1	1
062315	17	17	2	0	2	0
062352	16	16	2	1	1	0
062393	24	24	2	0	2	0
062404	26	25	2	0	2	0
062882	31	31	2	0	2	0
062882	33	33	2	2	0	0
062906	7	7	2	0	2	0
062906	8	8	2	0	2	1
062906	10	10	2	0	2	1
063436	10	10	2	0	2	0
063436	22	22	2	0	2	1
063436	23	23	2	0	2	0
063438	4	4	2	0	2	0
064501	13	13	2	0	2	0
064690	15	15	2	0	2	0
064696	32	32	2	0	2	2
064895	6	6	2	0	2	1
066121	16	16	2	0	2	1
066121	21	21	2	0	2	0
066148	32	31	2	0	2	0
066182	28	28	2	0	2	1
066321	12	12	2	0	2	0
066675	24	24	2	0	2	1
066943	4	4	2	1	1	0
066943	5	5	2	0	2	0
066943	6	6	2	0	2	0
066943	7	7	2	0	2	0
066943	8	8	2	0	2	0
066943	9	9	2	1	1	0
066943	10	10	2	0	2	0
066943	11	11	2	0	2	0
066943	12	12	2	0	2	0
066943	13	13	2	0	2	0
066943	14	14	2	0	2	0
066943	15	15	2	1	1	0
066943	16	16	2	1	1	0
066943	17	17	2	0	2	0
067218	16	16	2	0	2	0
067651	37	37	2	0	2	0
067651	45	45	2	0	2	0
067651	49	49	2	0	2	0
067988	39	39	2	1	1	0
068057	24	24	2	1	1	1
068057	28	28	2	0	2	1
068057	29	29	2	0	2	0
068108	6	6	2	0	2	0
068108	11	11	2	0	2	0
068108	12	12	2	1	1	0
068108	14	14	2	1	1	0
068108	16	16	2	0	2	0
068108	21	21	2	1	1	0
068108	26	26	2	1	1	0
068778	8	8	2	0	2	0
068988	8	8	2	0	2	1
069416	15	15	2	0	2	0
069416	18	18	2	0	2	0
069416	38	38	2	1	1	0
069416	47	47	2	0	2	0
069416	51	51	2	1	1	0
069416	53	53	2	1	1	0
069416	56	56	2	0	2	0
069653	6	6	2	0	2	0
069680	9	9	2	0	2	0
069680	11	11	2	1	1	0
069680	18	18	2	1	1	0
069680	24	24	2	1	1	0
069729	7	7	2	0	2	1
069729	9	9	2	1	1	0
069729	10	10	2	0	2	1
069853	13	13	2	0	2	0
069916	9	9	2	0	2	0
069962	31	30	2	0	2	0
069982	23	22	2	0	2	1
070144	10	10	2	0	2	0
070186	12	12	2	0	2	0
070186	14	14	2	1	1	0
070196	5	5	2	0	2	1
070219	15	15	2	0	2	0
070232	12	12	2	0	2	0
070250	10	10	2	0	2	0
070250	12	12	2	0	2	0
070250	14	14	2	0	2	0
070268	10	10	2	0	2	0
070450	3	3	2	0	2	0
070450	13	13	2	0	2	0
070452	10	10	2	1	1	0
070452	18	18	2	1	1	0
070452	19	19	2	0	2	0
070464	4	4	2	2	0	0
070568	10	10	2	0	2	0
070725	8	8	2	1	1	0
070725	12	12	2	0	2	0
070841	8	8	2	0	2	1
070841	15	15	2	1	1	0
070841	19	19	2	0	2	0
070922	6	6	2	1	1	0
070922	12	12	2	0	2	1
071048	6	6	2	1	1	0
071059	12	12	2	0	2	1
071076	6	6	2	0	2	1
071076	10	10	2	0	2	0
071148	4	4	2	0	2	1
071148	12	12	2	0	2	0
071148	14	14	2	0	2	0
071298	5	5	2	0	2	0
071299	4	4	2	0	2	0
071299	8	8	2	0	2	0
071299	9	9	2	1	1	0
071641	8	8	2	1	1	0
071641	16	16	2	2	0	0
071641	18	18	2	1	1	0
071641	28	28	2	1	1	0
071682	22	22	2	0	2	0
071682	24	24	2	0	2	0
071682	26	26	2	1	1	0
072098	9	9	2	2	0	0
072293	31	31	2	0	2	0
073033	24	24	2	0	2	0
073068	9	9	2	0	2	0
073068	12	12	2	0	2	0
073068	13	13	2	0	2	0
073068	14	14	2	0	2	0
073068	28	28	2	0	2	0
073068	35	35	2	0	2	0
073068	36	36	2	1	1	0
073068	37	37	2	0	2	0
073178	13	13	2	1	1	0
073310	4	4	2	0	2	1
073310	14	14	2	1	1	0
073379	30	30	2	0	2	0
073487	2	2	2	0	2	0
073487	3	3	2	0	2	0
073487	14	14	2	1	1	0
073557	13	13	2	2	0	0
073649	1	1	4	0	4	2
073649	2	2	3	0	3	0
073649	3	3	4	0	4	0
073649	4	4	2	1	1	0
073649	5	5	2	0	2	0
073649	6	6	2	0	2	1
073649	7	7	5	0	5	1
073683	1	1	3	0	3	2
073683	2	2	4	0	4	0
073683	3	3	4	1	3	0
073683	4	4	3	0	3	0
073683	5	5	3	0	3	0
073683	6	6	3	0	3	0
073683	7	7	3	0	3	0
073683	8	8	2	0	2	1
073713	1	1	2	0	2	2
073713	2	2	2	0	2	0
073713	3	3	3	0	3	0
073713	4	4	3	0	3	0
073713	5	5	3	0	3	0
073713	6	6	5	0	5	0
073713	7	7	4	0	4	1
073741	1	1	3	0	3	2
073741	2	2	4	2	2	0
073741	3	3	4	1	3	0
073741	4	4	4	2	2	0
073741	5	5	2	0	2	0
073741	6	6	3	0	3	1
073741	7	7	3	0	3	1
073774	1	1	3	0	3	3
073774	2	2	2	0	2	2
073774	3	3	3	0	3	1
073774	4	4	2	0	2	0
073774	6	6	3	0	3	1
073774	7	7	2	0	2	1
073774	8	8	2	0	2	1
073790	1	1	4	0	4	2
073790	2	2	2	0	2	0
073790	3	3	2	0	2	1
073790	4	4	2	0	2	0
073790	5	5	3	0	3	0
073790	6	6	2	0	2	2
